Table Name: vehicleObservation$RecordAll$domain0, Topic Name: vehicleObservation
Timestamp,vehicle_id,header.create_stamp.nanoseconds,header.valid_after_stamp.nanoseconds,pose.x,pose.y,pose.yaw
1551295533434037999,3,1551295533400000000,1551295533400000000,1.1744659169,2.9045379112,0.0058732505
1551295533445903999,3,1551295533420000000,1551295533420000000,1.1812680173,2.9035227141,-0.0032763412
1551295533464498999,3,1551295533440000000,1551295533440000000,1.1890827151,2.9043208693,-0.0016371577
1551295533486690999,3,1551295533460000000,1551295533460000000,1.1949082699,2.9050433212,0.0099426780
1551295533510084999,3,1551295533480000000,1551295533480000000,1.2027173450,2.9036815505,-0.0147620819
1551295533524964999,3,1551295533500000000,1551295533500000000,1.2095615437,2.9045066939,-0.0132548969
1551295533544492999,3,1551295533520000000,1551295533520000000,1.2173340120,2.9042039948,-0.0132539883
1551295533568016999,3,1551295533520000000,1551295533520000000,1.2232105411,2.9055555617,-0.0057911842
1551295533585448999,3,1551295533540000000,1551295533540000000,1.2319071976,2.9036365235,-0.0132541328
1551295533602432999,3,1551295533560000000,1551295533560000000,1.2377018724,2.9032613309,-0.0032707632
1551295533628247999,3,1551295533580000000,1551295533580000000,1.2455160456,2.9041969662,0.0000452364
1551295533643733999,3,1551295533600000000,1551295533600000000,1.2523165799,2.9037946175,-0.0016306794
1551295533670134999,3,1551295533620000000,1551295533620000000,1.2591513496,2.9035435805,-0.0132509526
1551295533682417999,3,1551295533640000000,1551295533640000000,1.2650274882,2.9048945774,-0.0057919426
1551295533702111999,3,1551295533660000000,1551295533660000000,1.2727991129,2.9045235502,-0.0066244414
1551295533723322999,3,1551295533680000000,1551295533680000000,1.2796013680,2.9046682716,-0.0016288654
1551295533749832999,3,1551295533700000000,1551295533700000000,1.2854591364,2.9041116992,-0.0174370263
1551295533760984999,3,1551295533720000000,1551295533720000000,1.2932591836,2.9041631745,-0.0249046020
1551295533779862998,3,1551295533740000000,1551295533740000000,1.3000475741,2.9034669261,-0.0301667019
1551295533800234998,3,1551295533760000000,1551295533760000000,1.3059012432,2.9042833545,-0.0174374293
1551295533820217998,3,1551295533780000000,1551295533780000000,1.3127126629,2.9049735051,-0.0057924459
1551295533839719998,3,1551295533800000000,1551295533800000000,1.3185713677,2.9047580425,-0.0174375338
1551295533859447998,3,1551295533820000000,1551295533820000000,1.3272376438,2.9028281075,-0.0132447363
1551295533879731998,3,1551295533840000000,1551295533840000000,1.3321359500,2.9036053770,-0.0132440548
1551295533909662998,3,1551295533860000000,1551295533860000000,1.3389413901,2.9038831641,-0.0066254389
1551295533921777998,3,1551295533880000000,1551295533880000000,1.3457824609,2.9045849227,-0.0066255013
1551295533941808998,3,1551295533900000000,1551295533900000000,1.3516465603,2.9047816198,-0.0132435178
1551295533958324998,3,1551295533920000000,1551295533920000000,1.3574750930,2.9045546132,-0.0132428363
1551295533988721998,3,1551295533940000000,1551295533940000000,1.3642696699,2.9039457276,-0.0174381631
1551295533998235998,3,1551295533960000000,1551295533960000000,1.3701231533,2.9039609579,-0.0262738842
1551295534021976000,3,1551295533980000000,1551295533980000000,1.3759515747,2.9037339449,-0.0262733036
1551295534037498000,3,1551295534000000000,1551295534000000000,1.3837511805,2.9055899143,0.0000584982
1551295534061092000,3,1551295534020000000,1551295534020000000,1.3895739250,2.9043989549,-0.0116966637
1551295534077993000,3,1551295534040000000,1551295534040000000,1.3944488656,2.9039814736,-0.0262713682
1551295534096590000,3,1551295534060000000,1551295534060000000,1.4012421291,2.9034878420,-0.0290617862
1551295534116779000,3,1551295534080000000,1551295534080000000,1.4070360068,2.9025232278,-0.0262702069
1551295534142744000,3,1551295534100000000,1551295534100000000,1.4138231804,2.9033132152,-0.0016146118
1551295534160794000,3,1551295534120000000,1551295534120000000,1.4206229462,2.9031859336,0.0000635130
1551295534176530000,3,1551295534140000000,1551295534140000000,1.4264511404,2.9029589491,0.0000643048
1551295534195125000,3,1551295534160000000,1551295534160000000,1.4322793061,2.9027319658,0.0000650966
1551295534226653000,3,1551295534180000000,1551295534180000000,1.4381407319,2.9023809383,-0.0132352565
1551295534236308000,3,1551295534200000000,1551295534200000000,1.4440026729,2.9026961063,-0.0184085270
1551295534255449000,3,1551295534220000000,1551295534220000000,1.4498321347,2.9025485352,-0.0174391406
1551295534277349000,3,1551295534240000000,1551295534240000000,1.4556601433,2.9023214840,-0.0174391928
1551295534295530000,3,1551295534260000000,1551295534260000000,1.4625111105,2.9039779654,-0.0057949514
1551295534313962000,3,1551295534280000000,1551295534280000000,1.4683390359,2.9037509142,-0.0057950143
1551295534334650999,3,1551295534300000000,1551295534300000000,1.4741669327,2.9035238641,-0.0057950772
1551295534354537000,3,1551295534320000000,1551295534320000000,1.4809939611,2.9031910581,-0.0184090547
1551295534376996999,3,1551295534340000000,1551295534340000000,1.4868217746,2.9029640099,-0.0184091058
1551295534394446999,3,1551295534360000000,1551295534360000000,1.4925976701,2.9012393590,-0.0248894740
1551295534418931999,3,1551295534380000000,1551295534380000000,1.4984282384,2.9011276666,-0.0234823799
1551295534434542999,3,1551295534400000000,1551295534400000000,1.5042662454,2.9013960388,-0.0174396106
1551295534465979999,3,1551295534420000000,1551295534420000000,1.5090875859,2.9005856483,-0.0132268500
1551295534472447999,3,1551295534440000000,1551295534440000000,1.5149614113,2.9019345446,-0.0057955175
1551295534494360999,3,1551295534460000000,1551295534460000000,1.5217544988,2.9010602942,-0.0132272218
1551295534511237999,3,1551295534480000000,1551295534480000000,1.5276156702,2.9013747033,-0.0184094632
1551295534542784999,3,1551295534500000000,1551295534500000000,1.5334432554,2.9011476640,-0.0184095143
1551295534551058999,3,1551295534520000000,1551295534520000000,1.5383063424,2.9013835355,-0.0132251769
1551295534573893999,3,1551295534540000000,1551295534540000000,1.5431572588,2.9008487465,-0.0174401876
1551295534590273999,3,1551295534560000000,1551295534560000000,1.5489833431,2.9005422312,-0.0184096505
1551295534616184999,3,1551295534580000000,1551295534580000000,1.5558222922,2.9012439288,-0.0184097016
1551295534638790999,3,1551295534600000000,1551295534600000000,1.5616497181,2.9010168933,-0.0184097526
1551295534649928999,3,1551295534620000000,1551295534620000000,1.5675057399,2.9012254552,-0.0248834458
1551295534672348999,3,1551295534640000000,1551295534640000000,1.5743157349,2.9014912727,-0.0184100761
1551295534696774999,3,1551295534660000000,1551295534660000000,1.5801430490,2.9012642392,-0.0184101271
1551295534712011999,3,1551295534680000000,1551295534680000000,1.5850059150,2.9015004706,-0.0132214589
