world_x; world_y; image_x; image_y;
0.1000; 0.1000; 1955.5233; 223.9297; 
0.1000; 0.2000; 1957.9287; 266.3973; 
0.1000; 0.3000; 1960.1641; 309.1385; 
0.1000; 0.4000; 1962.2953; 352.1652; 
0.1000; 0.5000; 1964.5381; 395.2710; 
0.1000; 0.6000; 1966.7927; 438.3874; 
0.1000; 0.7000; 1969.0533; 481.7461; 
0.1000; 0.8000; 1971.2106; 525.1254; 
0.1000; 0.9000; 1973.4495; 568.7506; 
0.1000; 1.0000; 1975.6691; 612.4798; 
0.1000; 1.1000; 1977.8385; 656.3452; 
0.1000; 1.2000; 1980.0636; 700.3510; 
0.1000; 1.3000; 1982.0223; 744.5510; 
0.1000; 1.4000; 1983.8265; 788.8319; 
0.1000; 1.5000; 1985.5023; 833.2372; 
0.1000; 1.6000; 1987.3325; 877.7288; 
0.1000; 1.7000; 1989.1538; 922.2710; 
0.1000; 1.8000; 1990.4376; 966.9832; 
0.1000; 1.9000; 1991.4963; 1011.7022; 
0.1000; 2.0000; 1992.4714; 1056.4579; 
0.1000; 2.1000; 1993.2368; 1101.2173; 
0.1000; 2.2000; 1994.2155; 1145.9237; 
0.1000; 2.3000; 1994.7220; 1190.6318; 
0.1000; 2.4000; 1995.1669; 1235.1910; 
0.1000; 2.5000; 1995.5547; 1279.7930; 
0.1000; 2.6000; 1995.8722; 1324.2930; 
0.1000; 2.7000; 1996.3400; 1368.7860; 
0.1000; 2.8000; 1996.5494; 1413.1450; 
0.1000; 2.9000; 1996.6567; 1457.3102; 
0.1000; 3.0000; 1996.7350; 1501.4800; 
0.1000; 3.1000; 1996.7876; 1545.5598; 
0.1000; 3.2000; 1996.7899; 1589.4827; 
0.1000; 3.3000; 1996.4948; 1633.1224; 
0.1000; 3.4000; 1996.3590; 1676.8082; 
0.1000; 3.5000; 1996.0328; 1720.2371; 
0.1000; 3.6000; 1996.1387; 1763.8909; 
0.1000; 3.7000; 1996.0969; 1807.2047; 
0.1000; 3.8000; 1996.3702; 1850.8470; 
0.1000; 3.9000; 1996.9427; 1894.6986; 
0.2000; 0.1000; 1913.0127; 223.5761; 
0.2000; 0.2000; 1915.6396; 265.9126; 
0.2000; 0.3000; 1917.8705; 308.7007; 
0.2000; 0.4000; 1920.1311; 351.6048; 
0.2000; 0.5000; 1922.3859; 394.7190; 
0.2000; 0.6000; 1924.7333; 437.9057; 
0.2000; 0.7000; 1927.0491; 481.1770; 
0.2000; 0.8000; 1929.3627; 524.6875; 
0.2000; 0.9000; 1931.8098; 568.1948; 
0.2000; 1.0000; 1934.1139; 612.0284; 
0.2000; 1.1000; 1936.4720; 655.9515; 
0.2000; 1.2000; 1938.6929; 700.1139; 
0.2000; 1.3000; 1940.5471; 744.3713; 
0.2000; 1.4000; 1942.3905; 788.8564; 
0.2000; 1.5000; 1944.0995; 833.3983; 
0.2000; 1.6000; 1945.9890; 878.0311; 
0.2000; 1.7000; 1947.6500; 922.8087; 
0.2000; 1.8000; 1949.1217; 967.6252; 
0.2000; 1.9000; 1950.1793; 1012.5029; 
0.2000; 2.0000; 1951.2000; 1057.3860; 
0.2000; 2.1000; 1952.0179; 1102.2756; 
0.2000; 2.2000; 1952.9088; 1147.2222; 
0.2000; 2.3000; 1953.5398; 1192.0746; 
0.2000; 2.4000; 1953.8890; 1236.8416; 
0.2000; 2.5000; 1954.1925; 1281.5278; 
0.2000; 2.6000; 1954.4678; 1326.1976; 
0.2000; 2.7000; 1954.8114; 1370.8087; 
0.2000; 2.8000; 1954.9095; 1415.2150; 
0.2000; 2.9000; 1954.8336; 1459.5065; 
0.2000; 3.0000; 1954.8257; 1503.7191; 
0.2000; 3.1000; 1954.8499; 1547.8579; 
0.2000; 3.2000; 1954.7325; 1591.7698; 
0.2000; 3.3000; 1954.3717; 1635.5476; 
0.2000; 3.4000; 1954.1741; 1679.2144; 
0.2000; 3.5000; 1953.9171; 1722.7410; 
0.2000; 3.6000; 1953.6218; 1766.0762; 
0.2000; 3.7000; 1953.3375; 1809.3271; 
0.2000; 3.8000; 1953.3032; 1852.6995; 
0.2000; 3.9000; 1953.5419; 1896.1934; 
0.3000; 0.1000; 1870.9050; 222.7143; 
0.3000; 0.2000; 1873.4170; 265.1959; 
0.3000; 0.3000; 1875.8943; 307.8708; 
0.3000; 0.4000; 1878.0837; 350.8647; 
0.3000; 0.5000; 1880.4615; 393.9319; 
0.3000; 0.6000; 1882.7024; 437.2182; 
0.3000; 0.7000; 1885.0891; 480.4989; 
0.3000; 0.8000; 1887.5480; 524.0013; 
0.3000; 0.9000; 1890.0239; 567.6771; 
0.3000; 1.0000; 1892.4755; 611.4952; 
0.3000; 1.1000; 1894.8601; 655.4724; 
0.3000; 1.2000; 1897.0198; 699.8281; 
0.3000; 1.3000; 1898.8827; 744.2421; 
0.3000; 1.4000; 1900.6978; 788.8801; 
0.3000; 1.5000; 1902.3846; 833.5867; 
0.3000; 1.6000; 1904.2972; 878.3260; 
0.3000; 1.7000; 1906.0404; 923.1859; 
0.3000; 1.8000; 1907.3199; 968.2305; 
0.3000; 1.9000; 1908.5408; 1013.2617; 
0.3000; 2.0000; 1909.4663; 1058.3416; 
0.3000; 2.1000; 1910.2601; 1103.4266; 
0.3000; 2.2000; 1911.2620; 1148.5358; 
0.3000; 2.3000; 1912.0286; 1193.5671; 
0.3000; 2.4000; 1912.3362; 1238.4548; 
0.3000; 2.5000; 1912.6956; 1283.2925; 
0.3000; 2.6000; 1912.9131; 1328.1154; 
0.3000; 2.7000; 1913.0591; 1372.8394; 
0.3000; 2.8000; 1913.0746; 1417.3363; 
0.3000; 2.9000; 1912.9492; 1461.7240; 
0.3000; 3.0000; 1912.8727; 1505.9718; 
0.3000; 3.1000; 1912.8763; 1550.2131; 
0.3000; 3.2000; 1912.6199; 1594.1632; 
0.3000; 3.3000; 1912.1714; 1637.9238; 
0.3000; 3.4000; 1911.9691; 1681.6871; 
0.3000; 3.5000; 1911.6934; 1725.2026; 
0.3000; 3.6000; 1911.0151; 1768.4176; 
0.3000; 3.7000; 1910.6659; 1811.5624; 
0.3000; 3.8000; 1910.4003; 1854.7567; 
0.3000; 3.9000; 1910.4408; 1898.1779; 
0.4000; 0.1000; 1828.7000; 221.8402; 
0.4000; 0.2000; 1831.2933; 264.1499; 
0.4000; 0.3000; 1833.7762; 306.8750; 
0.4000; 0.4000; 1836.0479; 349.9009; 
0.4000; 0.5000; 1838.1975; 393.1430; 
0.4000; 0.6000; 1840.5001; 436.4948; 
0.4000; 0.7000; 1843.0327; 479.8041; 
0.4000; 0.8000; 1845.5323; 523.3253; 
0.4000; 0.9000; 1848.1151; 566.9374; 
0.4000; 1.0000; 1850.5928; 610.9521; 
0.4000; 1.1000; 1852.9031; 655.0953; 
0.4000; 1.2000; 1855.0326; 699.4822; 
0.4000; 1.3000; 1856.9738; 744.0828; 
0.4000; 1.4000; 1858.7411; 788.8607; 
0.4000; 1.5000; 1860.4547; 833.7357; 
